,ID,Smiles
Aclacinomycin A hydrochloride,364,O=C([C@@H]1C2=CC(C(C3=CC=CC(O)=C43)=O)=C(C4=O)C(O)=C2[C@@H](O[C@@](O[C@@H](C)[C@H]5O[C@@](O[C@@H](C)[C@H]6O[C@](CCC7=O)([H])O[C@H]7C)([H])C[C@@H]6O)([H])C[C@@H]5N(C)C)C[C@]1(O)CC)OC.Cl
Azomycin,365,O=[N+]([O-])C1=NC=CN1
Pemetrexed (disodium),366,O=C1NC(N)=NC2=C1C(CCC3=CC=C(C(N[C@H](C([O-])=O)CCC([O-])=O)=O)C=C3)=CN2.[Na+].[Na+]
trans-Cinnamic acid,367,O=C(O)/C=C/C1=CC=CC=C1
Halofuginone (hydrobromide),368,O=C1N(CC(C[C@@H]2NCCC[C@H]2O)=O)C=NC3=C1C=C(Cl)C(Br)=C3.Br
Rubusoside,369,C[C@]([C@]1([H])CC2)(CCC[C@@]1(C)C(O[C@@H]([C@@H]([C@@H](O)[C@@H]3O)O)O[C@@H]3CO)=O)[C@@]4([H])[C@]2(CC5=C)C[C@@]5(O[C@]([C@@H]([C@@H](O)[C@@H]6O)O)([H])O[C@@H]6CO)CC4
L-Phenylalanine,370,N[C@@H](CC1=CC=CC=C1)C(O)=O
Valpromide,371,CCCC(CCC)C(N)=O
Oxcarbazepine,372,O=C(N1C2=CC=CC=C2CC(C3=CC=CC=C31)=O)N
Neobavaisoflavone,373,O=C1C(C2=CC=C(O)C(C/C=C(C)\C)=C2)=COC3=CC(O)=CC=C13
Histamine,374,NCCC1=CN=CN1
(S)-3-Hydroxybutanoic acid,375,C[C@H](O)CC(O)=O
Diosmin,376,O=C1C=C(C2=CC=C(OC)C(O)=C2)OC3=CC(O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]5[C@@H]([C@@H]([C@H]([C@H](C)O5)O)O)O)O4)O)O)O)=CC(O)=C13
Methyl Salicylate,377,O=C(OC)C1=CC=CC=C1O
L-Asparagine,378,N[C@H](C(O)=O)CC(N)=O
Moniliformin (sodium salt),379,O=C1C(C([O-])=C1)=O.[Na+]
Urea,380,NC(N)=O
L-Lactic acid,381,C[C@H](O)C(O)=O
Pepstatin Trifluoroacetate,382,O=C(O)C(F)(F)F.CC(C[C@H](NC([C@@H](NC([C@@H](NC(CC(C)C)=O)C(C)C)=O)C(C)C)=O)[C@@H](O)CC(N[C@@H](C)C(N[C@@H](CC(C)C)[C@@H](O)CC(O)=O)=O)=O)C
Miquelianin,383,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(O)C(O)=C3)=C1O[C@@H]4O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]4O
2'-Deoxycytidine,384,OC[C@@H]1[C@H](C[C@H](N2C(N=C(C=C2)N)=O)O1)O
Fructose,385,O[C@H]1[C@@H](O)[C@H](O)[C@@](O)(CO)OC1
Deoxycholic acid sodium salt,386,C[C@@]1([C@@]2([H])[C@H](C)CCC([O-])=O)[C@](CC2)([H])[C@@](CC[C@@]3([H])[C@@]4(CC[C@@H](O)C3)C)([H])[C@]4([H])C[C@@H]1O.[Na+]
Epothilone A,387,O=C(C[C@H](O)C1(C)C)O[C@H](/C(C)=C/C2=CSC(C)=N2)C[C@]3([H])O[C@]3([H])CCC[C@H](C)[C@H](O)[C@@H](C)C1=O
(-)-Menthol,388,O[C@H]1[C@H](C(C)C)CC[C@@H](C)C1
Solithromycin,389,C[C@]([C@H](OC([C@@](F)(C([C@H](C)[C@H]1O[C@@](O[C@H](C)C[C@@H]2N(C)C)([H])[C@@H]2O)=O)C)=O)CC)(O3)[C@]([C@H](C([C@@H](C[C@@]1(C)OC)C)=O)C)([H])N(CCCCN4C=C(C5=CC(N)=CC=C5)N=N4)C3=O
Zearalenone,390,O=C(O[C@@H](C)CCC1)C2=C(O)C=C(O)C=C2/C=C/CCCC1=O
Maltitol,391,O[C@H](CO)[C@H]([C@H](O)[C@H](CO)O)O[C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1
Camphor,392,O=C1C(C2(C)C)(C)CCC2C1
Gallic acid,393,O=C(O)C1=CC(O)=C(O)C(O)=C1
Umbelliferone,394,O=C1C=CC2=CC=C(O)C=C2O1
Maltotriose,395,OC[C@@H](O[C@@]1(O[C@@H]2[C@@H](CO)O[C@@H]([C@@H]([C@H]2O)O)O[C@@]([H])([C@@H]([C@H](C=O)O)O)[C@@H](CO)O)[H])[C@H]([C@@H]([C@H]1O)O)O
3-Methylpyrazole,396,CC1=NNC=C1
Dalbavancin,397,O[C@@H]([C@@H](O)[C@@H]1O)[C@H](O[C@@H]1CO)OC2=C(C3=CC([C@@](C4=O)([H])NC([C@@](NC([C@](NC([C@@](NC5=O)([H])C6)=O)([H])C(C=C7OC(C=C8[C@H]5NC)=C(C=C8)O)=C(C(O)=C7)Cl)=O)([H])C9=CC%10=C(O[C@H](O[C@H](C(O)=O)[C@@H](O)[C@@H]%11O)[C@@H]%11NC(CCCCCCCCC(C)C)=O)C(OC%12=CC=C6C=C%12)=C9)=O)=CC=C3O)C([C@@](NC([C@](N4)([H])[C@@H](C%13=CC=C(O%10)C(Cl)=C%13)O)=O)([H])C(NCCCN(C)C)=O)=CC(O)=C2
Vanillic acid,398,O=C(O)C1=CC=C(O)C(OC)=C1
Pioglitazone,399,O=C(N1)SC(CC2=CC=C(OCCC3=NC=C(CC)C=C3)C=C2)C1=O
Propylparaben,400,O=C(OCCC)C1=CC=C(O)C=C1
L-5-Hydroxytryptophan,401,N[C@@H](CC1=CNC2=CC=C(O)C=C12)C(O)=O
Pulsatilla saponin D,402,C[C@]([C@@]1([H])[C@]2(CC[C@@H]3O[C@@](OC[C@H](O[C@]([C@@H]([C@@H](O)[C@@H]4O)O)([H])O[C@@H]4CO)[C@@H]5O)([H])[C@@H]5O[C@@](O[C@@H](C)[C@H](O)[C@H]6O)([H])[C@@H]6O)C)(CC[C@@]2([H])[C@]3(C)CO)[C@@](C7=CC1)(CC[C@]8(C(O)=O)[C@@]7([H])CC(C)(C)CC8)C
Cytisinicline,403,O=C1N(C[C@@]2([H])C[C@]3([H])CNC2)C3=CC=C1
Hypoxanthine,404,O=C1NC=NC2=C1N=CN2
Dehydroisoandrosterone 3-acetate,405,C[C@]1([C@](CC2)([H])[C@]3([H])CC=C4C[C@@H](OC(C)=O)CC[C@]4(C)[C@@]3([H])CC1)C2=O
Rifampicin,406,OC(C(/C=N/N1CCN(C)CC1)=C(NC(/C(C)=C\C=C\[C@@H]([C@@H]([C@@H](C)[C@H]2O)O)C)=O)C(O)=C3C(O)=C4C)=C3C5=C4O[C@](C)(O/C=C/[C@@H]([C@H]([C@@]([C@@H]2C)([H])OC(C)=O)C)OC)C5=O
Salicin,407,O[C@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)[C@@H]1OC2=CC=CC=C2CO
Methyl vanillate,408,O=C(OC)C(C=C1)=CC(OC)=C1O
Atropine,409,O=C(O[C@@H]1C[C@@H](N2C)CC[C@@H]2C1)C(CO)C3=CC=CC=C3
Pyridoxine (hydrochloride),410,OCC1=C(CO)C(O)=C(C)N=C1.Cl
β-Alanine,411,NCCC(O)=O
Thiamine hydrochloride,412,CC1=C(CCO)SC=[N+]1CC2=CN=C(C)N=C2N.[Cl-].Cl
Adenosine monophosphate,413,O=P(O)(OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O)O
(-)-(S)-Equol,414,OC1=CC=C2C[C@@H](C3=CC=C(O)C=C3)COC2=C1
Topotecan (Hydrochloride),415,[H]Cl.O=C1[C@](O)(CC)C2=C(CO1)C(N3CC4=CC5=C(CN(C)C)C(O)=CC=C5N=C4C3=C2)=O
Cephalothin (sodium),416,O=C(C(N12)=C(COC(C)=O)CS[C@]2([H])[C@H](NC(CC3=CC=CS3)=O)C1=O)[O-].[Na+]
Shikonin,417,O=C1C([C@H](O)C/C=C(C)/C)=CC(C2=C1C(O)=CC=C2O)=O
Octyl gallate,418,O=C(OCCCCCCCC)C1=CC(O)=C(O)C(O)=C1
Escin,419,CC1(C)[C@@H](OC(/C(C)=C/C)=O)[C@H](OC(C)=O)[C@@]([C@H](O)C[C@]2(C)C3=CC[C@@]4([H])[C@@]2(C)CC[C@]5([H])[C@]4(C)CC[C@H](O[C@@H]6O[C@H](C(O)=O)[C@@H](O[C@@H]7[C@@H](O)[C@H](O)[C@@H](O)[C@H](CO)O7)[C@H](O)[C@H]6O[C@@H]8OC(CO)[C@@H](O)[C@H](O)[C@H]8O)[C@@]5(CO)C)(CO)[C@@]3([H])C1
Parasin I (TFA),420,OC(C(F)(F)F)=O.[KGRGKQGGKVRAKAKTRSS]
Sulforaphane,421,O=S(CCCCN=C=S)C
Rutin,422,O=C1C(O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]3[C@@H]([C@@H]([C@H]([C@H](C)O3)O)O)O)O2)O)O)O)=C(C4=CC=C(O)C(O)=C4)OC5=CC(O)=CC(O)=C15
Paeoniflorin,423,O[C@H]1[C@H](O)[C@@H](O)[C@]([H])(O[C@]2([C@@]3(C)O[C@]4([H])O[C@@]5(C3)O)C[C@]5([H])[C@]24COC(C6=CC=CC=C6)=O)O[C@@H]1CO
sn-Glycero-3-phosphocholine,424,O=P(OCC[N+](C)(C)C)(OC[C@H](O)CO)[O-]
Astragaloside II,425,O[C@H]1[C@H](O)[C@@H](OC(C)=O)[C@]([H])(O[C@@H]2C(C)(C)[C@@]([C@@H](O[C@]3([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]4([H])[C@@]56CC[C@@]7(C)[C@@]4(C)C[C@H](O)[C@@]7([C@]8(C)O[C@H](C(O)(C)C)CC8)[H])([H])[C@]5(C6)CC2)OC1
Vidarabine,426,O[C@@H]([C@@H]1O)[C@@H](O[C@@H]1CO)N2C(N=CN=C3N)=C3N=C2
Guggulsterone,427,C[C@@]1(/C2=C/C)[C@](CC2=O)([H])[C@@]3([H])[C@]([C@@]4(C(CC3)=CC(CC4)=O)C)([H])CC1
Doripenem (monohydrate),428,O=C(C(N12)=C(S[C@@H]3CN[C@H](CNS(=O)(N)=O)C3)[C@H](C)[C@]2([H])[C@@H]([C@H](O)C)C1=O)O.O
Neohesperidin dihydrochalcone,429,O=C(C1=C(O)C=C(O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O[C@@]3([H])[C@@H]([C@@H]([C@H]([C@H](C)O3)O)O)O)C=C1O)CCC4=CC=C(OC)C(O)=C4
Faropenem sodium,430,O=C([C@@]([H])1[C@@H](C)O)N([C@@H]1S2)C(C(O[Na])=O)=C2[C@@H]3OCCC3
Sulfaclozine,431,O=S(C1=CC=C(N)C=C1)(NC2=NC(Cl)=CN=C2)=O
Sulfameter,432,O=S(C1=CC=C(N)C=C1)(NC2=NC=C(OC)C=N2)=O
Tylosin (tartrate),433,C[C@@H](O[C@@]1([H])O[C@H]([C@H]([C@@H](CC2=O)O)C)[C@H](C[C@H](C(/C=C/C(C)=C/[C@H](CO[C@H](O[C@H](C)[C@@H](O)[C@H]3OC)[C@@H]3OC)[C@@H](CC)O2)=O)C)CC=O)[C@H]([C@@H]([C@H]1O)N(C)C)O[C@@](O[C@@H](C)[C@@H]4O)([H])C[C@]4(O)C.O[C@@H](C(O)=O)[C@@H](O)C(O)=O
Tylosin,434,C[C@@H](O[C@@]1([H])O[C@H]([C@H]([C@@H](CC2=O)O)C)[C@H](C[C@H](C(/C=C/C(C)=C/[C@H](CO[C@H](O[C@H](C)[C@@H](O)[C@H]3OC)[C@@H]3OC)[C@@H](CC)O2)=O)C)CC=O)[C@H]([C@@H]([C@H]1O)N(C)C)O[C@@](O[C@@H](C)[C@@H]4O)([H])C[C@]4(O)C
Cephalomannine,435,O=C(/C(C)=C/C)N[C@@H](C1=CC=CC=C1)[C@H](C(O[C@@H]2C(C)=C([C@@H](OC(C)=O)C([C@@]3(C)[C@]([C@](OC(C)=O)(CO4)[C@H]4C[C@@H]3O)([H])[C@@H]5OC(C6=CC=CC=C6)=O)=O)C(C)(C)[C@@]5(O)C2)=O)O
Colistin (sulfate),436,CCC(C)CCCC(N[C@@H](CCN)C(N[C@H](C(N[C@H](C(N[C@@H](CCNC([C@H]([C@H](O)C)N1)=O)C(N[C@@H](CCN)C(N[C@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CCN)C(N[C@@H](CCN)C1=O)=O)=O)=O)=O)=O)=O)CCN)=O)[C@H](O)C)=O)=O.O=S(O)(O)=O
Capsaicin,437,CC(C)/C=C/CCCCC(NCC1=CC=C(O)C(OC)=C1)=O
4-Aminobenzoic acid,438,O=C(O)C1=CC=C(N)C=C1
Taurochenodeoxycholic acid,439,C[C@@]1([C@@]2([H])[C@H](C)CCC(NCCS(=O)(O)=O)=O)[C@](CC2)([H])[C@@]([C@@H](C[C@]3([H])C[C@H](O)CC4)O)([H])[C@]([C@]34C)([H])CC1
Sulfamethoxypyridazine,440,O=S(C1=CC=C(N)C=C1)(NC2=NN=C(OC)C=C2)=O
Sarafloxacin (hydrochloride),441,O=C(C1=CN(C2=CC=C(F)C=C2)C3=C(C=C(F)C(N4CCNCC4)=C3)C1=O)O.Cl
Biotin,442,O=C(O)CCCC[C@@H]1SC[C@]([C@]1([H])N2)([H])NC2=O
Imazalil,443,C=CCOC(C1=CC=C(Cl)C=C1Cl)CN2C=CN=C2
Ethyl ferulate,444,O=C(OCC)/C=C/C1=CC=C(O)C(OC)=C1
Rotenone,445,O=C1[C@]2([H])[C@](COC3=CC(OC)=C(OC)C=C32)([H])OC4=C5C(O[C@@H](C(C)=C)C5)=CC=C14
Desaminotyrosine,446,C1=C(C=CC(=C1)O)CCC(O)=O
Ethylvanillin,447,O=CC1=CC=C(O)C(OCC)=C1
5-Aminolevulinic acid (hydrochloride),448,O=C(O)CCC(CN)=O.[H]Cl
Cysteamine hydrochloride,449,SCCN.Cl
Metronidazole,450,OCCN1C([N+]([O-])=O)=CN=C1C
Butylphthalide,451,O=C1OC(CCCC)C2=C1C=CC=C2
Ruxolitinib (phosphate),452,N#CC[C@H](C1CCCC1)N2N=CC(C3=C4C=CNC4=NC=N3)=C2.O=P(O)(O)O
Bromocriptine (mesylate),453,[H][C@@]12CC3=C(Br)NC4=CC=CC(C1=C[C@@H](C(N[C@@]5(C(C)C)C(N6[C@@H](CC(C)C)C(N7CCC[C@]7([C@]6(O)O5)[H])=O)=O)=O)CN2C)=C43.OS(=O)(C)=O
Amorolfine (hydrochloride),454,C[C@@H]1O[C@H](C)CN(CC(C)CC2=CC=C(C(C)(C)CC)C=C2)C1.Cl
Homoharringtonine,455,[H][C@@]12[C@](CCC3)(C=C(OC)[C@]2(OC([C@](CCCC(O)(C)C)(O)CC(OC)=O)=O)[H])N3CCC4=CC5=C(OCO5)C=C14
Geniposidic acid,456,O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O[C@@H]2OC=C(C(O)=O)[C@]3([H])[C@@]2([H])C(CO)=CC3)[C@@H]1O
Estriol,457,C[C@@]1([C@H]2O)[C@](C[C@H]2O)([H])[C@@](CCC3=C4C=CC(O)=C3)([H])[C@]4([H])CC1
Reserpine (hydrochloride),458,O=C([C@H]([C@@H](OC)[C@H](OC(C1=CC(OC)=C(OC)C(OC)=C1)=O)C[C@]2([H])CN3CC4)[C@@]2([H])C[C@]3([H])C5=C4C(C=CC(OC)=C6)=C6N5)OC.Cl
Menaquinone-4,459,O=C1C(C)=C(C/C=C(C)/CC/C=C(C)/CC/C=C(C)/CC/C=C(C)\C)C(C2=C1C=CC=C2)=O
Ecteinascidin 770,460,N#C[C@@H]([C@@]1([H])N(C)[C@]2([H])C3=C(C=C(C)C(OC)=C3O)C1)N4[C@@]2([H])[C@@](SC[C@@]5(NCC6)C7=C6C=C(O)C(OC)=C7)([H])C8=C(C(OCO9)=C9C(C)=C8OC(C)=O)[C@]4([H])COC5=O
Trimethoprim,461,NC1=NC=C(CC2=CC(OC)=C(OC)C(OC)=C2)C(N)=N1
Midecamycin,462,O[C@H]1[C@](O[C@H](C)[C@@H](O[C@@](O[C@@H](C)[C@@H]2OC(CC)=O)([H])C[C@]2(O)C)[C@@H]1N(C)C)([H])O[C@@H]([C@H](C[C@H]([C@H](/C=C/C=C/C3)O)C)CC=O)[C@H]([C@](CC(O[C@@H]3C)=O)([H])OC(CC)=O)OC
Tigecycline,463,O=C(C(C1=O)=C(O)[C@@H](N(C)C)[C@]2([H])C[C@]3([H])CC4=C(C(C3=C(O)[C@@]21O)=O)C(O)=C(NC(CNC(C)(C)C)=O)C=C4N(C)C)N
Hydroquinidine,464,O[C@H]([C@]1([H])[N@@](CC2)C[C@H](CC)[C@@H]2C1)C3=CC=NC4=CC=C(OC)C=C34
Cycloastragenol,465,O[C@H]1CC[C@@]2(C3)[C@]([C@@H](O)C[C@]4([H])[C@@]23CC[C@@]5(C)[C@@]4(C)C[C@H](O)[C@]5([H])[C@@]6(C)O[C@@H](C(C)(C)O)CC6)([H])C1(C)C
Ginsenoside Rc,466,C[C@](CC/C=C(C)/C)([C@]1([H])[C@]([C@H](O)C[C@@]2([H])[C@@]3(C)CC[C@]4([H])[C@]2(C)CC[C@H](O[C@]5([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@]6([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C4(C)C)([H])[C@@]3(C)CC1)O[C@@H]7O[C@H](CO[C@@H]8O[C@@H](CO)[C@H](O)[C@H]8O)[C@@H](O)[C@H](O)[C@H]7O
Madecassoside,467,O=C(C1(CCC(C)C2C)C2C3=CCC4C(C)(CC(O)C5C4(CC(O)C(O)C5(C)CO)C)C3(C)CC1)OC(C(C(O)C6O)O)OC6COC(C(C(O)C7OC(OC(C)C(O)C8O)C8O)O)OC7CO
Tavaborole,468,OB1OCC2=CC(F)=CC=C21
Streptomycin (sulfate),469,O[C@@]1(C=O)[C@H]([C@@H](O[C@H]1C)O[C@]([C@@H]([C@@H](O)[C@@H]2NC(N)=N)O)([H])[C@H]([C@@H]2O)NC(N)=N)O[C@@](O[C@@H](CO)[C@H](O)[C@H]3O)([H])[C@H]3NC.[1.5H2SO4]
D-Cycloserine,470,O=C1[C@H](N)CON1
Olsalazine (Disodium),471,O=C([O-])C1=C(O)C=CC(/N=N/C2=CC(C([O-])=O)=C(O)C=C2)=C1.[Na+].[Na+]
Sulfisoxazole,472,O=S(C1=CC=C(N)C=C1)(NC2=C(C)C(C)=NO2)=O
Furaltadone (hydrochloride),473,O=C1OC(CN2CCOCC2)CN1/N=C/C3=CC=C([N+]([O-])=O)O3.[H]Cl
Sulfamerazine,474,O=S(C1=CC=C(N)C=C1)(NC2=NC=CC(C)=N2)=O
Guaifenesin,475,OCC(O)COC1=CC=CC=C1OC
(+)-Camphor,476,CC1(C)[C@@]2(C)CC[C@@H]1CC2=O
Epiandrosterone,477,C[C@]1([C@](CC2)([H])[C@]3([H])CC[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC1)C2=O
Sulfaguanidine,478,O=S(C1=CC=C(N)C=C1)(NC(N)=N)=O
Mitomycin C,479,NC1=C(C(C2=C(C1=O)[C@@H](COC(N)=O)[C@]3(OC)N2C[C@H]4[C@@H]3N4)=O)C
trans-Trimethoxyresveratrol,480,COC1=CC=C(/C=C/C2=CC(OC)=CC(OC)=C2)C=C1
Raltegravir (potassium salt),481,O=C(C(N=C(C(NC(C1=NN=C(C)O1)=O)(C)C)N2C)=C([O-])C2=O)NCC3=CC=C(F)C=C3.[K+]
Acetylcysteine,482,SC[C@@H](C(O)=O)NC(C)=O
D-Luciferin,483,O=C([C@@H]1N=C(C2=NC3=CC=C(O)C=C3S2)SC1)O
Dibenzoyl Thiamine,484,O=C(C1=CC=CC=C1)S/C(CCOC(C2=CC=CC=C2)=O)=C(N(CC3=CN=C(C)N=C3N)C=O)/C
L-DABA,485,O=C(O)[C@@H](N)CCN
Rhodamine B,486,CCN(C1=CC2=[O+]C3=C(C=CC(N(CC)CC)=C3)C(C4=CC=CC=C4C(O)=O)=C2C=C1)CC.[Cl-]
Dioscin,487,O[C@@H]1[C@@H](O)[C@H](C)O[C@@]([H])(O[C@H]2[C@H](O)[C@@H](O[C@]3([H])O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@](O[C@@H]4CC5=CC[C@]([C@]([H])(C[C@@]6([H])[C@]7([H])[C@H](C)[C@]8(OC[C@H](C)CC8)O6)[C@]7(C)CC9)([H])[C@@]9([H])[C@@]5(C)CC4)([H])O[C@@H]2CO)[C@@H]1O
Alisol A (24-acetate),488,C[C@]([C@@]1(C2=C([C@H](C)C[C@H](O)[C@H](C(C)(O)C)OC(C)=O)CC1)C)(CC[C@@]3([H])C4(C)C)[C@]([C@H](C2)O)([H])[C@]3(CCC4=O)C
2-Furoic acid,489,O=C(C1=CC=CO1)O
Ethynyl Estradiol,490,OC1=CC=C2C(CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])CC[C@]4(C#C)O)=C1
Formononetin,491,O=C1C(C2=CC=C(OC)C=C2)=COC3=CC(O)=CC=C13
Paradol,492,COC1=C(O)C=CC(CCC(CCCCCCC)=O)=C1
Olivetol,493,OC1=CC(CCCCC)=CC(O)=C1
"6-(γ,γ-Dimethylallylamino)purine",494,C/C(C)=C/CNC1=C2N=CNC2=NC=N1
Ansamitocin P-3,495,ClC1=C(N(C)C(C[C@H](OC(C(C)C)=O)[C@@](O2)(C)[C@]2([H])[C@H](C)[C@]3([H])C[C@](NC(O3)=O)(O)[C@H](OC)/C=C/C=C(C)/C4)=O)C=C4C=C1OC
Gamithromycin,496,O[C@H]([C@H](C[C@@H](C)O1)N(C)C)[C@]1([H])O[C@@H]2[C@H]([C@@H]([C@H](C(O[C@@H]([C@@](C)(O)[C@H](O)[C@@H](C)CN(CCC)[C@H](C)C[C@]2(O)C)CC)=O)C)O[C@@]3([H])C[C@](C)([C@@H](O)[C@H](C)O3)OC)C
Gossypol (acetic acid),497,OC1=C(C2=C(O)C(C(C=O)=C(O)C(O)=C3C(C)C)=C3C=C2C)C(C)=CC4=C(C(C)C)C(O)=C(O)C(C=O)=C41.O=C(O)C
Epimedin B,498,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](OC2=CC(O)=C(C(C(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O[C@@]4([H])[C@H](O)[C@@H](O)[C@H](O)CO4)=C(C5=CC=C(OC)C=C5)O6)=O)C6=C2C/C=C(C)/C)O1
Harringtonine,499,O=C([C@@](CC(OC)=O)(O)CCC(C)(O)C)O[C@H]1[C@](C2=CC(OCO3)=C3C=C2CCN4CCC5)([H])[C@]45C=C1OC
Ginsenoside Rg2,500,C[C@]([C@@](C[C@H]1O)([H])[C@]2(CC[C@@H]3O)C)(C[C@H](O[C@@](O[C@H](CO)[C@@H](O)[C@@H]4O)([H])[C@@H]4O[C@@](O[C@@H](C)[C@H](O)[C@H]5O)([H])[C@@H]5O)[C@@]2([H])C3(C)C)[C@]6([C@@]1([H])[C@]([C@@](C)(O)CC/C=C(C)/C)([H])CC6)C
SDMA,501,N[C@@H](CCC/N=C(NC)/NC)C(O)=O
Novobiocin (Sodium),502,CC1=C(OC2=O)C(C(O)=C2NC(C3=CC(C/C=C(C)/C)=C([O-])C=C3)=O)=CC=C1O[C@H](OC(C)(C)[C@H](OC)[C@H]4OC(N)=O)[C@@H]4O.[Na+]
Fenspiride (Hydrochloride),503,O=C1OC2(CCN(CCC3=CC=CC=C3)CC2)CN1.[H]Cl
Catechin,504,O[C@@H]1[C@@H](C2=CC(O)=C(O)C=C2)OC3=CC(O)=CC(O)=C3C1
Forchlorfenuron,505,O=C(NC1=CC=CC=C1)NC2=CC(Cl)=NC=C2
Angelicin,506,O=C1C=CC2=CC=C(OC=C3)C3=C2O1
Hederagenin,507,CC1(C)CC[C@@](CC[C@]2(C)C3=CC[C@@]4([H])[C@@]2(C)CC[C@]5([H])[C@]4(C)CC[C@H](O)[C@]5(CO)C)(C(O)=O)[C@@]3([H])C1
Cyclo(his-pro),508,O=C(N[C@H]1CC2=CN=CN2)[C@@](CCC3)([H])N3C1=O
Dimenhydrinate,509,O=C(N1C)N(C)C2=C(NC(Cl)=N2)C1=O.CN(C)CCOC(C3=CC=CC=C3)C4=CC=CC=C4
Cytarabine,510,O=C1N=C(N)C=CN1[C@H]2[C@H]([C@@H]([C@@H](CO)O2)O)O
Hypaconitine,511,CO[C@@H](CC1)C23[C@@](C[C@@]4(O)[C@@H]5OC(C6=CC=CC=C6)=O)([H])[C@@]5([H])[C@](OC(C)=O)([C@@H](O)[C@@H]4OC)C7C2N(C)C[C@@]1(COC)[C@@]3([H])[C@H]7OC
Capreomycin (sulfate),512,O=C(CC(N)CCCN)NCC(C(N/C(C(NC(C1NC(NCC1)=N)C2=O)=O)=C/NC(N)=O)=O)NC(C(NC(C(CN2)N)=O)C)=O.O=S(O)(O)=O
Ginsenoside Rh1,513,C[C@@]([C@@]12C)(C[C@H](O[C@]([C@@H]([C@@H](O)[C@@H]3O)O)([H])O[C@@H]3CO)[C@@]4([H])C5(C)C)[C@@](C[C@@H](O)[C@]1([H])[C@]([C@@](C)(O)CC/C=C(C)/C)([H])CC2)([H])[C@]4(CC[C@@H]5O)C
alpha-Hederin,514,OC[C@@]1(C)[C@]2([H])CC[C@@]3(C)[C@]4(C)CC[C@@]5(C(O)=O)CCC(C)(C)C[C@@]5([H])C4=CC[C@]3([H])[C@@]2(C)CC[C@@H]1O[C@]6([H])OC[C@H](O)[C@H](O)[C@H]6O[C@@]7([H])[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O7
Irinotecan (hydrochloride),515,O=C(N1CCC(N2CCCCC2)CC1)OC3=CC=C4N=C5C(CN6C(C(COC([C@@]7(CC)O)=O)=C7C=C65)=O)=C(CC)C4=C3.[H]Cl
Terconazole,516,CC(N1CCN(C2=CC=C(OC[C@@H]3O[C@@](CN4N=CN=C4)(C5=CC=C(Cl)C=C5Cl)OC3)C=C2)CC1)C
Cefmetazole (sodium),517,O=C(C(N12)=C(CSC3=NN=NN3C)CS[C@]2([H])[C@](OC)(NC(CSCC#N)=O)C1=O)[O-].[Na+]
Digoxin,518,O[C@]([C@@](CC[C@@]1([H])[C@@]2(CC[C@H](O[C@@](O[C@H](C)[C@H]3O[C@@](O[C@H](C)[C@H]4O[C@@](O[C@H](C)[C@H]5O)([H])C[C@@H]5O)([H])C[C@@H]4O)([H])C[C@@H]3O)C1)C)([H])[C@]2([H])C[C@H]6O)(CC[C@@H]7C(CO8)=CC8=O)[C@]67C
Hygromycin B,519,O[C@H]([C@H]1O)C2(O[C@@]([C@@H](N)CO)([H])[C@@H]1O)O[C@@]([C@@H](O[C@@H]3CO)O[C@@]([C@H]([C@H](N)C4)O)([H])[C@@H]([C@H]4NC)O)([H])[C@@]([C@H]3O)([H])O2
Brassinolide,520,O[C@H]1[C@@H](O)C[C@@](C(OC[C@]2([H])[C@]3([H])CC[C@@]4(C)[C@]2(CC[C@]4([H])[C@H](C)[C@@H](O)[C@H](O)[C@H](C(C)C)C)[H])=O)([H])[C@]3(C)C1
Cefoperazone,521,O=C(C(N12)=C(CSC3=NN=NN3C)CS[C@]2([H])[C@H](NC([C@H](NC(N4C(C(N(CC)CC4)=O)=O)=O)C5=CC=C(O)C=C5)=O)C1=O)O
